NIF;NOMBRE DEL FONDO;NOMBRE DE LA GESTORA;DIRECCIÓN;POLÍTICA DE INVERSIÓN;VARIABILIDAD DEL CAPITAL;SUB FONDO;ISIN;CÓDIGO DE SUPERVISOR
V87152088;ABACO GLOBAL VALUE OPPORTUNITIES FI;ABACO CAPITAL, SGIIC, S.A.;CL CLAUDIO COELLO 124, 28006, MADRID;otros;capital variable;No;ES0140074008;FI4827
V87152088;ABACO GLOBAL VALUE OPPORTUNITIES FI;ABACO CAPITAL, SGIIC, S.A.;CL CLAUDIO COELLO 124, 28006, MADRID;otros;capital variable;No;ES0140074016;FI4827
V87152088;ABACO GLOBAL VALUE OPPORTUNITIES FI;ABACO CAPITAL, SGIIC, S.A.;CL CLAUDIO COELLO 124, 28006, MADRID;otros;capital variable;No;ES0140074024;FI4827
V87152088;ABACO GLOBAL VALUE OPPORTUNITIES FI;ABACO CAPITAL, SGIIC, S.A.;CL CLAUDIO COELLO 124, 28006, MADRID;otros;capital variable;No;ES0140074032;FI4827
V86467461;ABACO RENTA FIJA MIXTA GLOBAL, FI;ABACO CAPITAL, SGIIC, S.A.;CL CLAUDIO COELLO 124, 28006, MADRID;mixtos;capital variable;No;ES0140072002;FI4474
V86467461;ABACO RENTA FIJA MIXTA GLOBAL, FI;ABACO CAPITAL, SGIIC, S.A.;CL CLAUDIO COELLO 124, 28006, MADRID;mixtos;capital variable;No;ES0140072010;FI4474
V86467461;ABACO RENTA FIJA MIXTA GLOBAL, FI;ABACO CAPITAL, SGIIC, S.A.;CL CLAUDIO COELLO 124, 28006, MADRID;mixtos;capital variable;No;ES0140072028;FI4474
V87655726;ABANCA GARANTIZADO RENTAS ANUALES, FI;IMANTIA CAPITAL, S.G.I.I.C., S.A.;C/ SERRANO 45, 3ª PLANTA, 28001, MADRID;obligaciones;capital variable;No;ES0165938004;FI5123
V88067145;ABANCA GARANTIZADO RENTAS ANUALES II, FI;IMANTIA CAPITAL, S.G.I.I.C., S.A.;C/ SERRANO 45, 3ª PLANTA, 28001, MADRID;obligaciones;capital variable;No;ES0165941008;FI5258
V86844974-5;ABANCA GESTION, FI/ABANCA GESTION / AGRESIVO;IMANTIA CAPITAL, S.G.I.I.C., S.A.;C/ SERRANO 45, 3ª PLANTA, 28001, MADRID;participaciones;capital variable;No;ES0133400046;FI4676-5
V86844974-2;ABANCA GESTION, FI/ABANCA GESTIÓN / CONSERVADOR;IMANTIA CAPITAL, S.G.I.I.C., S.A.;C/ SERRANO 45, 3ª PLANTA, 28001, MADRID;mixtos;capital variable;No;ES0133400012;FI4676-2
